Notes,Race,Race Code,Cancer Sites,Cancer Sites Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,< 1 year,1,Female,F,123
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,< 1 year,1,Male,M,139
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,1-4 years,1-4,Female,F,378
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,1-4 years,1-4,Male,M,520
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,5-9 years,5-9,Female,F,288
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,5-9 years,5-9,Male,M,372
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,10-14 years,10-14,Female,F,332
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,10-14 years,10-14,Male,M,394
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,15-19 years,15-19,Female,F,578
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,15-19 years,15-19,Male,M,598
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,20-24 years,20-24,Female,F,900
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,20-24 years,20-24,Male,M,860
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,25-29 years,25-29,Female,F,1633
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,25-29 years,25-29,Male,M,1223
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,30-34 years,30-34,Female,F,2748
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,30-34 years,30-34,Male,M,1498
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,35-39 years,35-39,Female,F,4187
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,35-39 years,35-39,Male,M,2084
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,40-44 years,40-44,Female,F,6289
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,40-44 years,40-44,Male,M,3025
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,45-49 years,45-49,Female,F,8796
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,45-49 years,45-49,Male,M,5203
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,50-54 years,50-54,Female,F,11247
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,50-54 years,50-54,Male,M,9186
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,55-59 years,55-59,Female,F,13418
,American Indian or Alaska Native,1002-5,All Invasive Cancer Sites Combined,0,55-59 years,55-59,Male,M,13135
